Sample_ID,short_ENA_accession,short_Genbank_accession,Year of Isolation,Month of Isolation,ST_Shortened,Collection,Source,Location,Province,ProvinceLocation,Province_Capital_Latitude,Province_Capital_Longitutde,Hospital,MIC_ESBL,ESBL,MIC_Ampicillin,Ampicillin,MIC_Amoxicillin/Clavulanic Acid,Amoxicillin/Clavulanic Acid,MIC_Piperacillin/Tazobactam,Piperacillin/Tazobactam,MIC_Cefalotin,Cefalotin,MIC_Cefoxitin,Cefoxitin,MIC_Ceftazidime,Ceftazidime,MIC_Ceftriaxone,Ceftriaxone,MIC_Cefepime,Cefepime,MIC_Imipenem,Imipenem,MIC_Meropenem,Meropenem,MIC_Amikacin,Amikacin,MIC_Gentamicin,Gentamicin,MIC_Ciprofloxacin,Ciprofloxacin,MIC_Tigecycline,Tigecycline,MIC_Nitrofurantoin,Nitrofurantoin,MIC_Trimethoprim/ Sulfamethoxazole,Trimethoprim/ Sulfamethoxazole
N841,ERR12055252,SAMN37449892,2022,11,ST11,MOH,BC,Najran,Najran,SouthWest,17.56927051,44.22684712,NHB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,>= 512,R,<= 20,S
N824,ERR12055261,SAMN37449891,2022,10,ST11,MOH,BC,Najran,Najran,SouthWest,17.56927051,44.22684712,NHB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,>= 512,R,<= 20,S
N823,ERR12178187,SAMN38154097,2020,9,ST11,MOH,BC,Najran,Najran,SouthWest,17.56927051,44.22684712,NHB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,>= 512,R,<= 20,S
N658,ERR12178165,SAMN38154092,2022,8,ST11,MOH,BC,Najran,Najran,SouthWest,17.56927051,44.22684712,NHB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,>= 512,R,<= 20,S
N652,ERR12178192,SAMN38154091,2022,9,ST11,MOH,BC,Najran,Najran,SouthWest,17.56927051,44.22684712,NHD,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,<= 2,S,<= 1,S,>= 4,R,4,I,>= 512,R,160,R
N594,ERR12055290,SAMN37449887,2022,9,ST11,MOH,BC,Najran,Najran,SouthWest,17.56927051,44.22684712,NHB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,>= 512,R,<= 20,S
N1148,ERR12055281,SAMN37449883,2022,12,ST11,MOH,BC,Najran,Najran,SouthWest,17.56927051,44.22684712,NHB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,>= 512,R,<= 20,S
N1145,ERR12055268,SAMN37449882,2022,12,ST11,MOH,BC,Najran,Najran,SouthWest,17.56927051,44.22684712,NHB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,>= 512,R,<= 20,S
R1185,ERR12178213,SAMN38154106,2022,9,ST1229,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,POS,+,>= 32,R,>= 32,R,64,R,>= 64,R,<= 4,S,>= 64,R,>= 64,R,>= 64,R,<= 0.25,S,<= 0.25,S,<= 2,S,>= 16,R,0.5,I,<= 0.5,S,32,S,>= 320,R
S56,ERR12178166,SAMN38154138,2022,12,ST14,MOH,BC,Sakaka,AlJawf,North,29.88333549,40.11210099,SHD,POS,+,>= 32,R,16,I,16,I,>= 64,R,<= 4,S,16,I,>= 64,R,2,S,<= 0.25,S,<= 0.25,S,16,*I,<= 1,S,2,R,1,S,<= 16,S,<= 20,S
