Sample_ID,short_ENA_accession,short_Genbank_accession,Year of Isolation,Month of Isolation,ST_Shortened,Collection,Source,Location,Province,ProvinceLocation,Province_Capital_Latitude,Province_Capital_Longitutde,Hospital,MIC_ESBL,ESBL,MIC_Ampicillin,Ampicillin,MIC_Amoxicillin/Clavulanic Acid,Amoxicillin/Clavulanic Acid,MIC_Piperacillin/Tazobactam,Piperacillin/Tazobactam,MIC_Cefalotin,Cefalotin,MIC_Cefoxitin,Cefoxitin,MIC_Ceftazidime,Ceftazidime,MIC_Ceftriaxone,Ceftriaxone,MIC_Cefepime,Cefepime,MIC_Imipenem,Imipenem,MIC_Meropenem,Meropenem,MIC_Amikacin,Amikacin,MIC_Gentamicin,Gentamicin,MIC_Ciprofloxacin,Ciprofloxacin,MIC_Tigecycline,Tigecycline,MIC_Nitrofurantoin,Nitrofurantoin,MIC_Trimethoprim/ Sulfamethoxazole,Trimethoprim/ Sulfamethoxazole
J57,ERR12178540,SAMN38154019,2022,12,ST147,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JHB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,16,*I,<= 1,S,>= 4,R,4,I,256,R,>= 320,R
J54,ERR12178206,SAMN38154017,2022,4,ST147,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JHB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,32,I,<= 1,S,>= 4,R,4,I,>= 512,R,>= 320,R
J537,ERR12178155,SAMN38154016,2022,1,ST147,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JHC,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,32,I,<= 1,S,>= 4,R,4,I,256,R,>= 320,R
J333,ERR12178235,SAMN38154013,2022,5,ST147,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
J238,ERR12178183,SAMN38154008,2022,5,ST147,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JHB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,8,R,>= 16,R,32,I,<= 1,S,>= 4,R,4,I,256,R,40,S
J100,ERR12178146,SAMN38154003,2022,11,ST147,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
GR-50,ERR12178232,SAMN38153992,2022,10,ST147,MOH,BC,AlQurayat,AlJawf,North,31.33612258,37.36650781,GRHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,8,R,>= 16,R,>= 64,R,8,I,>= 4,R,>= 8,R,256,R,>= 320,R
Q103,ERR12055283,SAMN37449894,2022,8,ST147,MOH,BC,AlQassim,AlQassim,Center,26.36764728,43.972776,QHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,4,S,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
Q97,ERR12055289,SAMN37449903,2022,8,ST147,MOH,BC,AlQassim,AlQassim,Center,26.36764728,43.972776,QHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,4,S,>= 16,R,>= 4,R,4,I,128,R,>= 320,R
Q137,ERR12055274,SAMN37449898,2022,9,ST147,MOH,BC,AlQassim,AlQassim,Center,26.36764728,43.972776,QHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,4,S,>= 16,R,>= 4,R,>= 8,R,>= 512,R,>= 320,R
M495,ERR12178152,SAMN38154065,2022,5,ST147,MOH,BC,AlMadinah,AlMadinah,West,24.52534326,39.5907648,MRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,<= 2,S,>= 16,R,>= 4,R,4,I,256,R,<= 20,S
M616,ERR12178134,SAMN38154071,2022,6,ST147,MOH,BC,AlMadinah,AlMadinah,West,24.52534326,39.5907648,MRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,8,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,<= 20,S
M249,ERR12178244,SAMN38154057,2022,3,ST147,MOH,BC,AlMadinah,AlMadinah,West,24.52534326,39.5907648,MHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,256,R,>= 320,R
R596,ERR12178274,SAMN38154126,2022,6,ST147,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,256,R,40,S
M203,ERR12178153,SAMN38154056,2022,8,ST1552,MOH,BC,AlMadinah,AlMadinah,West,24.52534326,39.5907648,MHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,<= 2,S,>= 16,R,>= 4,R,>= 8,R,128,R,>= 320,R
R1296,ERR12178254,SAMN38154107,2022,10,ST16,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,POS,+,>= 32,R,16,I,16,I,>= 64,R,<= 4,S,>= 64,R,>= 64,R,>= 64,R,<= 0.25,S,<= 0.25,S,<= 2,S,>= 16,R,<= 0.25,S,1,S,64,I,>= 320,R
J818,ERR12178278,SAMN38154037,2022,10,ST16,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,<= 2,S,>= 16,R,>= 4,R,2,S,128,R,>= 320,R
J814,ERR12178267,SAMN38154036,2022,9,ST16,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,2,S,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,128,R,<= 20,S
J738,ERR12178240,SAMN38154031,2022,8,ST16,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,2,S,>= 16,R,<= 2,S,>= 16,R,>= 4,R,4,I,128,R,>= 320,R
J693,ERR12178212,SAMN38154027,2022,8,ST16,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,128,R,>= 320,R
J461,ERR12178234,SAMN38154015,2022,7,ST16,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JHC,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,128,R,>= 320,R
J268,ERR12178196,SAMN38154011,2022,6,ST16,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JHC,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,128,R,>= 320,R
J242,ERR12178128,SAMN38154009,2022,4,ST16,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JHC,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,128,R,>= 320,R
J235,ERR12178180,SAMN38154007,2022,5,ST16,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JHB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,128,R,>= 320,R
J181,ERR12178252,SAMN38154004,2022,5,ST16,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JHB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,128,R,>= 320,R
T39,ERR12178156,SAMN38154139,2022,3,ST16,MOH,BC,Taif,Makkah,SouthWest,21.28918403,40.42073622,THB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,8,R,>= 16,R,<= 2,S,<= 1,S,>= 4,R,4,I,128,R,>= 320,R
T197,ERR12055291,SAMN37449919,2022,11,ST16,MOH,BC,Taif,Makkah,SouthWest,21.28918403,40.42073622,THA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,16,*R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,>= 512,R,>= 320,R
M924,ERR12178256,SAMN38154080,2022,8,ST16,MOH,BC,AlMadinah,AlMadinah,West,24.52534326,39.5907648,MRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,<= 2,S,<= 1,S,>= 4,R,>= 8,R,128,R,>= 320,R
M549,ERR12178242,SAMN38154068,2022,5,ST2096,MOH,BC,AlMadinah,AlMadinah,West,24.52534326,39.5907648,MRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
TK123,ERR12055293,SAMN37449926,2022,12,ST2096,MOH,BC,Tabuk,Tabuk,NorthWest,28.38719742,36.56521253,TKHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,16,*R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,128,R,>= 320,R
T183,ERR12055258,SAMN37449918,2022,10,ST2096,MOH,BC,Taif,Makkah,SouthWest,21.28918403,40.42073622,THA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,2,S,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,256,R,>= 320,R
R68,ERR12178215,SAMN38154127,2022,3,ST2096,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,POS,+,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,<= 0.25,S,<= 0.25,S,>= 64,R,>= 16,R,>= 4,R,1,S,256,R,>= 320,R
R408,ERR12178219,SAMN38154125,2022,5,ST2096,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,1*,*I,>= 16,R,8,*I,<= 1,S,>= 4,R,4,I,256,R,>= 320,R
R347,ERR12178148,SAMN38154122,2022,4,ST2096,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
R317,ERR12178164,SAMN38154121,2022,4,ST2096,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,8,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,>= 8,R,256,R,>= 320,R
R314,ERR12178161,SAMN38154120,2022,4,ST2096,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
R313,ERR12178139,SAMN38154119,2022,4,ST2096,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
R235,ERR12055280,SAMN37449912,2022,4,ST2096,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,2,S,>= 16,R,8,*I,<= 1,S,>= 4,R,2,S,256,R,>= 320,R
R233,ERR12178185,SAMN38154116,2022,4,ST2096,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,1*,*I,>= 16,R,8,*I,<= 1,S,>= 4,R,2,S,128,R,>= 320,R
R185,ERR12178127,SAMN38154113,2022,3,ST2096,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,POS,+,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,<= 0.25*,*I,>= 16,R,>= 64,R,>= 16,R,>= 4,R,>= 8,R,256,R,>= 320,R
R1352,ERR12178271,SAMN38154110,2023,1,ST2096,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,1*,*I,>= 16,R,>= 64,R,2,S,>= 4,R,2,S,256,R,>= 320,R
R1350,ERR12178132,SAMN38154109,2023,1,ST2096,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,8,R,2,*R,1*,*I,>= 16,R,<= 2,S,<= 1,S,>= 4,R,4,I,256,R,<= 20,S
R1251,ERR12055265,SAMN37449909,2022,10,ST2096,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,1*,*I,>= 16,R,>= 64,R,>= 16,R,>= 4,R,1,S,256,R,>= 320,R
R121,ERR12055257,SAMN37449907,2022,3,ST2096,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,2,S,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
R120,ERR12055251,SAMN37449906,2022,3,ST2096,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,2,S,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,>= 512,R,>= 320,R
R1024,ERR12055266,SAMN37449905,2022,6,ST2096,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,1*,*I,8,I,8,*I,<= 1,S,>= 4,R,2,S,256,R,40,S
Q214,ERR12055279,SAMN37449902,2022,10,ST2096,MOH,BC,AlQassim,AlQassim,Center,26.36764728,43.972776,QHB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,2,S,>= 16,R,>= 64,R,<= 1,S,>= 4,R,2,S,256,R,>= 320,R
Q203,ERR12055273,SAMN37449900,2022,12,ST2096,MOH,BC,AlQassim,AlQassim,Center,26.36764728,43.972776,QHB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,1*,*I,>= 16,R,>= 64,R,2,S,>= 4,R,2,S,256,R,>= 320,R
Q166,ERR12055295,SAMN37449899,2022,10,ST2096,MOH,BC,AlQassim,AlQassim,Center,26.36764728,43.972776,QHC,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,2,S,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
Q119,ERR12055299,SAMN37449896,2022,8,ST2096,MOH,BC,AlQassim,AlQassim,Center,26.36764728,43.972776,QHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,<= 1,S,>= 4,R,4,I,256,R,>= 320,R
N889,ERR12055270,SAMN37449893,2022,10,ST2096,MOH,BC,Najran,Najran,SouthWest,17.56927051,44.22684712,NHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,2,S,>= 16,R,32,I,<= 1,S,>= 4,R,2,S,256,R,40,S
N769,ERR12055254,SAMN37449890,2022,10,ST2096,MOH,BC,Najran,Najran,SouthWest,17.56927051,44.22684712,NHB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,1*,*I,8,I,32,I,<= 1,S,>= 4,R,2,S,128,R,40,S
N698,ERR12205229,SAMN38154096,2022,9,ST2096,MOH,BC,Najran,Najran,SouthWest,17.56927051,44.22684712,NHC,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,4,*R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,>= 8,R,256,R,>= 320,R
N695,ERR12178175,SAMN38154095,2022,9,ST2096,MOH,BC,Najran,Najran,SouthWest,17.56927051,44.22684712,NHC,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
N665,ERR12178191,SAMN38154093,2022,9,ST2096,MOH,BC,Najran,Najran,SouthWest,17.56927051,44.22684712,NHC,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,2,S,>= 16,R,>= 64,R,2,S,>= 4,R,2,S,>= 512,R,>= 320,R
N643,ERR12055267,SAMN37449888,2022,9,ST2096,MOH,BC,Najran,Najran,SouthWest,17.56927051,44.22684712,NHC,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,2,S,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,256,R,>= 320,R
N348,ERR12178228,SAMN38154090,2022,6,ST2096,MOH,BC,Najran,Najran,SouthWest,17.56927051,44.22684712,NRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,128,R,>= 320,R
N135,ERR12178133,SAMN38154085,2022,4,ST2096,MOH,BC,Najran,Najran,SouthWest,17.56927051,44.22684712,NHC,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,256,R,>= 320,R
N1132,ERR12055292,SAMN37449881,2022,12,ST2096,MOH,BC,Najran,Najran,SouthWest,17.56927051,44.22684712,NHB,POS,+,>= 32,R,16,I,32,R,>= 64,R,>= 64,R,<= 1*,S,<= 1,S,2,S,<= 0.25,S,<= 0.25,S,<= 2,S,<= 1,S,>= 4,R,2,S,256,R,<= 20,S
M88,ERR12178204,SAMN38154079,2022,2,ST2096,MOH,BC,AlMadinah,AlMadinah,West,24.52534326,39.5907648,MHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,2,S,>= 16,R,>= 64,R,2,S,>= 4,R,4,I,256,R,>= 320,R
M87,ERR12178140,SAMN38154078,2022,2,ST2096,MOH,BC,AlMadinah,AlMadinah,West,24.52534326,39.5907648,MHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,2,S,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
M861,ERR12178263,SAMN38154077,2022,8,ST2096,MOH,BC,AlMadinah,AlMadinah,West,24.52534326,39.5907648,MRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,4,*R,8,R,8,*R,1*,*I,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
M853,ERR12178270,SAMN38154076,2022,8,ST2096,MOH,BC,AlMadinah,AlMadinah,West,24.52534326,39.5907648,MRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,1*,*I,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
M851,ERR12178249,SAMN38154075,2022,8,ST2096,MOH,BC,AlMadinah,AlMadinah,West,24.52534326,39.5907648,MRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,2,*R,8,R,2,*R,1*,*I,>= 16,R,<= 2,S,<= 1,S,>= 4,R,2,S,256,R,40,S
M85,ERR12178149,SAMN38154074,2022,3,ST2096,MOH,BC,AlMadinah,AlMadinah,West,24.52534326,39.5907648,MHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,2,S,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
M824,ERR12178253,SAMN38154073,2022,7,ST2096,MOH,BC,AlMadinah,AlMadinah,West,24.52534326,39.5907648,MRA,POS,+,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,<= 0.25,S,<= 0.25,S,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
M462,ERR12205230,SAMN38154064,2022,8,ST2096,MOH,BC,AlMadinah,AlMadinah,West,24.52534326,39.5907648,MRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,8,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
M459,ERR12178135,SAMN38154063,2022,5,ST2096,MOH,BC,AlMadinah,AlMadinah,West,24.52534326,39.5907648,MRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
M397,ERR12178174,SAMN38154062,2022,5,ST2096,MOH,BC,AlMadinah,AlMadinah,West,24.52534326,39.5907648,MRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,0.5*,*I,1,S,>= 64,R,2,S,>= 4,R,>= 8,R,256,R,>= 320,R
M387,ERR12178275,SAMN38154061,2022,4,ST2096,MOH,BC,AlMadinah,AlMadinah,West,24.52534326,39.5907648,MRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,8,R,8,*R,>= 16,R,>= 16,R,4,S,<= 1,S,>= 4,R,4,I,256,R,40,S
M351,ERR12178259,SAMN38154060,2022,4,ST2096,MOH,BC,AlMadinah,AlMadinah,West,24.52534326,39.5907648,MRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,>= 8,R,256,R,>= 320,R
M290,ERR12205219,SAMN38154058,2022,2,ST2096,MOH,BC,AlMadinah,AlMadinah,West,24.52534326,39.5907648,MRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,2,S,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,>= 512,R,>= 320,R
M1109,ERR12178221,SAMN38154054,2022,10,ST2096,MOH,BC,AlMadinah,AlMadinah,West,24.52534326,39.5907648,MRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,16,*R,>= 64,R,>= 64,R,4,I,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
J787,ERR12178218,SAMN38154034,2022,8,ST2096,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JHC,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,<= 0.25*,*I,1,S,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
J573,ERR12178170,SAMN38154020,2022,5,ST2096,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JHC,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,1*,*I,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,256,R,>= 320,R
J561,ERR12178220,SAMN38154018,2022,7,ST2096,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JHC,NEG,*+,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,<= 0.25,S,<= 0.25,S,>= 64,R,>= 16,R,>= 4,R,>= 8,R,256,R,>= 320,R
